Código,Descripción,URL Imagen,URL Producto,,Precio,Vista
152510052,Escobillón Laura SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_199-3e2042e3325bbbcc9517864972507269-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-laura-samantha/,100,1
152510052,Escobillón Laura SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/37-escobillon-laura-samantha-b1947ef60dd3dac77217860397672519-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-laura-samantha/,100,2
152510051,Escobillón Reina SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/photo_071-32a9f6f7f043d798b017864973135212-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-reina-samantha/,100,0
152510051,Escobillón Reina SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/38-escobillon-reina-samantha-c1fae91921fe933fbb17860393250630-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-reina-samantha/,100,1
152510051,Escobillón Reina SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/photo_036-04ba6e1066937c31aa17864973076200-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-reina-samantha/,100,2
152210005,Escoba Athena SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_170-1323db6bb9580b799217864973812322-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-athena-samantha/,100,0
152210005,Escoba Athena SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/39-escoba-athena-samantha-67f9d9570a6597679117860392309799-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-athena-samantha/,100,1
152210005,Escoba Athena SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_141-8490db424a5e16112b17864973886351-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-athena-samantha/,100,2
89011016,Silicona Aerosol 440cc FULL CAR,BAZAR > Varios bazar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/40-8-silic-aer-440cc-full-car-5ec4d336a69e541f2317860392614171-1024-1024.webp,https://www.msanchezycia.com.ar/productos/silicona-aerosol-440cc-full-car/,100,0
89011016,Silicona Aerosol 440cc FULL CAR,BAZAR > Varios bazar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/40-7-silic-aer-440cc-full-car-530fb9e1a76dd95e1a17860392613572-1024-1024.webp,https://www.msanchezycia.com.ar/productos/silicona-aerosol-440cc-full-car/,100,1
